,name,text
42,SHEPHERD #2," Oh, look! Look. One of them's looking up at us. 
        Heh. He knows we're talkin' about him. "
43,SHEPHERD #1," Morris, don't get me wrong. I actually like their 
        behavior at shearing. I actually like them when they get a little bit 
        cross. I find that endearing. "
44,MORRIS," That's the fantastic thing. They're beautiful to look 
        at, well-disposed, quite quick-witted, and yet, tough as nails. "
45,SHEPHERD #2, 
46,MORRIS, 
47,SHEPHERD #2," You know, I can't think of anything I'd rather do 
        than watch sheep. "
48,MORRIS, Mmm. 
49,SHEPHERD #1," The only other animals that I would be remotely 
        interested in watching would be cats. "
50,MORRIS, They don't have flocks of cats. 
51,SHEPHERD #1," No, I-- I'm not saying they do, Morris. "
52,MORRIS," Can you imagine a herds of cats waiting to be sheared? 
        Meow! Meow! Woo hoo hoo. "
53,SHEPHERD #2, Shh! Shh. I heard something over there. 
54,MORRIS, Wolves? 
55,SHEPHERD #2, Could be. 
56,MORRIS, Where? 
57,SHEPHERD #2, Over there. 
58,MORRIS, Right. 
59,SHEPHERD #4, Oowhh. 
60,SHEPHERD #2, That's not a wolf. 
61,SHEPHERD #4, S-- Gordon Bennett! 
62,SHEPHERD #3, 
63,MORRIS, I thought he was a wolf. 
64,SHEPHERD #3, You hit him right in the face! 
65,MORRIS," Well, he shouldn't come snooping 'round like that. "
66,SHEPHERD #3," You wait till you hear what we've just seen! The 
        most incredible things just happened! "
67,SHEPHERD #4, Don't tell 'em. Owhh. 
68,SHEPHERD #3," We were on the hillside over there when this 
        amazing- "
69,SHEPHERD #4, Don't tell them! They broke my bloody nose! 
70,SHEPHERD #3, Can't I tell them about the amazing th-- 
71,SHEPHERD #4, No! Oohh. 
72,SHEPHERD #3," Well, they said we were to tell everybody! "
73,SHEPHERD #4," Not people who break your bloody nose! Come on.
        "
74,SHEPHERD #1, Where are you going? 
75,SHEPHERD #3, Bethlehem. 
76,SHEPHERD #4, Nowhere! Good night. Uhh. 
77,MORRIS," That's right! Leave your sheep! Leave them to the 
        wolves! Call yourselves shepherds?! You're a disgrace to the profession!
        "
78,SHEPHERD #2," Huh. What a rotten thing to do,... "
79,MORRIS, Yeah. 
80,SHEPHERD #2," ...to go and leave those little helpless furry 
        bundles alone on the hillside. "
81,MORRIS, So they can go down to Bethlehem and get drunk. 
82,SHEPHERD #1, Is it A.D. yet? 
83,MORRIS, Quarter past. 
84,BABY BRIAN COHEN, 
85,WISE MAN #1, Ahem. 
86,MANDY COHEN, Ohhh! 
87,WISE MAN #1, We are three wise men. 
88,MANDY, What?! 
89,WISE MAN #1, We are three wise men. 
90,MANDY," Well, what are you doing creeping around a cow shed at 
        two o'clock in the morning? That doesn't sound very wise to me. "
91,WISE MAN #3, We are astrologers. 
92,WISE MAN #1, We have come from the East. 
93,MANDY, Is this some kind of joke? 
94,WISE MAN #2, We wish to praise the infant. 
95,WISE MAN #1, We must pay homage to him. 
96,MANDY," Homage? You're all drunk. It's disgusting. Out! The 
        lot, out! "
97,WISE MAN #1, No-- 
98,MANDY," Bursting in here with tales about oriental fortune 
        tellers. Come on. Out! "
99,WISE MAN #2," No, no. We must see him. "
100,MANDY, Go and praise someone else's brat! Go on! 
101,WISE MAN #2, We-- 
102,WISE MAN #1, We were led by a star. 
103,MANDY," Or led by a bottle, more like. Go on. Out! "
104,WISE MAN #1," Well-- well, we must see him. We have brought 
        presents. "
105,MANDY, Out! 
106,WISE MAN #2, Gold. Frankincense. Myrrh. 
107,MANDY," Well, why didn't you say? He's over there. Sorry the 
        place is a bit of a mess. Well, what is myrrh, anyway? "
108,WISE MAN #3, It is a valuable balm. 
109,MANDY," A balm? What are you giving him a balm for? It might 
        bite him. "
110,WISE MAN #3, What? 
111,MANDY," That's a dangerous animal. Quick! Throw it in the 
        trough. "
112,WISE MAN #1," No, it isn't. "
113,MANDY," Yes, it is. It's great, big mmm... "
114,WISE MAN #3," No, no, no. It is an ointment. "
115,MANDY," Aww, there is an animal called a balm,... or did I 
        dream it? So, you're astrologers, are you? Well, what is he then? "
116,WISE MAN #2, Hmm? 
117,MANDY, What star sign is he? 
118,WISE MAN #2," Uh, Capricorn. "
119,MANDY," Uhh, Capricorn, eh? What are they like? "
120,WISE MAN #2," Ooh, but... he is the son of God, our Messiah.
        "
121,WISE MAN #1, King of the Jews. 
122,MANDY," And that's Capricorn, is it? "
123,WISE MAN #2," Uh, no, no, no. That's just him. "
124,MANDY," Ohh, I was going to say, 'Otherwise, there'd be a lot 
        of them.' "
125,WISE MAN #1, By what name are you calling him? 
126,MANDY," Uh, 'Brian'. "
127,WISE MEN," We worship you, O Brian, who are Lord over us all. 
        Praise unto you, Brian, and to the Lord, our Father. Amen. "
128,MANDY," Do you do a lot of this, then? "
129,WISE MAN #2, What? 
130,MANDY, This praising. 
131,WISE MAN #2," No, no. No, no. "
132,MANDY," Er, well, um, if you're dropping by again, do pop in. 
        Heh. And thanks a lot for the gold and frankincense, er, but don't worry 
        too much about the myrrh next time. All right? Heh. Thank you! Good-bye! 
        Well, weren't they nice? Hmm. Out of their bloody minds, but still. "
133,BABY BRIAN, 
134,MANDY, Shut up. 
135,Cartoon, 
136,SINGER," Brian. The babe they called 'Brian', He grew,... grew, 
        grew, and grew-- Grew up to be-- grew up to be A boy called 'Brian'-- A 
        boy called 'Brian'. He had arms... and legs... and hands... and feet, 
        This boy... whose name was 'Brian', And he grew,... grew, grew, and 
        grew-- Grew up to be-- Yes, he grew up to be A teenager called 'Brian'-- 
        A teenager called 'Brian', And his face became spotty. Yes, his face 
        became spotty, And his voice dropped down low And things started to grow 
        On young Brian and show He was certainly no-- No girl named 'Brian', Not 
        a girl named 'Brian'. And he started to shave And have one off the wrist 
        And want to see girls And go out and get pissed, A man called 'Brian'-- 
        This man called 'Brian'-- The man they called 'Brian'-- This man called 
        'Brian'! "
137,JESUS CHRIST," How blest are those who know their need of God. 
        How blest are the sorrowful. They shall find consolation. How blest are 
        those of gentle spirit. They shall have the earth for their possession. 
        How blest are those who hunger and thirst to see right prevail. "
138,RANDOM, 
139,JESUS," They shall be satisfied. How blest are those whose 
        hearts are pure. They shall see God... "
140,MANDY, Speak up! 
141,MAN, Shh. 
142,BRIAN," Quiet, Mum. "
143,JESUS, How blest are those of gentle... 
144,MANDY," Well, I can't hear a thing. "
145,JESUS," ...spirit. They shall have the earth for their 
        possession. "
146,MANDY, Let's go t' the stoning. 
147,JESUS, How blest are those... 
148,MR. BIG NOSE, Shh. 
149,JESUS, ...who hunger and thirst... 
150,BRIAN, You can go to a stoning any time. 
151,JESUS, ...to see right... 
152,MANDY," Oh, come on, Brian. "
153,JESUS, ...prevail. 
154,MR. BIG NOSE, Will you be quiet?! 
155,JESUS, How blest are they who have suffered much... 
156,MRS. BIG NOSE, Don't pick your nose. 
157,MR. BIG NOSE, I wasn't picking my nose. I was scratching. 
158,MRS. BIG NOSE," You was picking it, while you was talking to 
        that lady. "
159,MR. BIG NOSE, I wasn't! 
160,MRS. BIG NOSE, Leave it alone. Give it a rest. 
161,MR. CHEEKY, Do you mind? I can't hear a word he's saying. 
162,MRS. BIG NOSE," Don't you 'do you mind' me. I was talking to my 
        husband. "
163,MR. CHEEKY," Well, go and talk to him somewhere else. I can't 
        hear a bloody thing. "
164,MR. BIG NOSE, Don't you swear at my wife. 
165,MR. CHEEKY," I was only asking her to shut up, so I can hear 
        what he's saying, Big Nose. "
166,MRS. BIG NOSE, Don't you call my husband 'Big Nose'! 
167,MR. CHEEKY," Well, he has got a big nose. "
168,GREGORY," Could you be quiet, please? "
169,JESUS, They shall have the earth... 
170,GREGORY, What was that? 
171,JESUS, ...for their possession. How blest are those... 
172,MR. CHEEKY," I don't know. I was too busy talking to Big Nose.
        "
173,JESUS, ...who hunger and thirst to see... 
174,MAN #1, I think it was 'Blessed are the cheesemakers.' 
175,JESUS, ...right prevail. 
176,MRS. GREGORY," Ahh, what's so special about the cheesemakers?
        "
177,GREGORY," Well, obviously, this is not meant to be taken 
        literally. It refers to any manufacturers of dairy products. "
178,MR. CHEEKY," See? If you hadn't been going on, we'd have heard 
        that, Big Nose. "
179,JESUS, How blest are those who... 
180,MR. BIG NOSE," Hey. Say that once more; I'll smash your bloody 
        face in. "
181,MRS. GREGORY, Ohh. 
182,MR. CHEEKY," Better keep listening. Might be a bit about 
        'Blessed are the big noses.' "
183,BRIAN," Oh, lay off him. "
184,MR. CHEEKY," Oh, you're not so bad yourself, Conkface. Where 
        are you two from? Nose City? "
185,MR. BIG NOSE," One more time, mate; I'll take you to the 
        fuckin' cleaners! "
186,MRS. BIG NOSE, Language! 
187,JESUS, ...hunger and thirst to see... 
188,MRS. BIG NOSE, And don't pick your nose. 
189,JESUS, ...right prevail. 
190,MR. BIG NOSE," I wasn't going to pick my nose. I was going to 
        thump him! "
191,MAN #2, You hear that? Blessed are the Greek. 
192,GREGORY, The Greek? 
193,MAN #2," Mmm. Well, apparently, he's going to inherit the 
        earth. "
194,GREGORY, Did anyone catch his name? 
195,MRS. BIG NOSE, You're not going to thump anybody. 
196,MR. BIG NOSE," I'll thump him if he calls me 'Big Nose' again.
        "
197,MR. CHEEKY," Oh, shut up, Big Nose. "
198,MR. BIG NOSE," Ah! All right. I warned you. I really will slug 
        you so hard-- "
199,MRS. BIG NOSE," Oh, it's the meek! Blessed are the meek! Oh, 
        that's nice, isn't it? I'm glad they're getting something, 'cause they 
        have a hell of a time. "
200,MR. CHEEKY," Listen. I'm only telling the truth. You have got a 
        very big nose. "
201,MR. BIG NOSE," Hey. Your nose is going to be three foot wide 
        across your face by the time I've finished with you! "
202,MAN #1 and MAN #2, Shhh. 
203,MR. CHEEKY," Well, who hit yours, then? Goliath's big brother?
        "
204,MR. BIG NOSE, Oh. Right. That's your last warning. 
205,MRS. GREGORY," Oh, do pipe down. "
206,GREGORY, Oh! 
207,MRS. GREGORY, Awa? 
208,MR. BIG NOSE, Silly bitch. Get in the way on me?... 
209,MRS. GREGORY, Ow!... 
210,MR. BIG NOSE, Break it up-- oh. Oh! 
211,MANDY," Oh, come on. Let's go to the stoning. "
212,BRIAN, All right. 
213,FRANCIS," Well, blessed is just about everyone with a vested 
        interest in the status quo, as far as I can tell, Reg. "
214,REG," Yeah. Well, what Jesus blatantly fails to appreciate is 
        that it's the meek who are the problem. "
215,JUDITH," Yes, yes. Absolutely, Reg. Yes, I see. "
216,MANDY," Oh, come on, Brian, or they'll have stoned him before 
        we get there. "
217,BRIAN, All right. 
218,MR. CHEEKY," Hey. Get off her. That's disgusting. Stop trying 
        to do that. Hey, officer, intervene here. Attempted rape going on. It's 
        the chap with the big nose's fault. He started it all. "
219,OFFICER, What? 
220,MANDY," Ohh, I hate wearing these beards. "
221,BRIAN," Why aren't women allowed go to stonings, Mum? "
222,MANDY, It's written. That's why. 
223,HARRY THE HAGGLER," Pssst! Beard, madam? "
224,DONKEY OWNER," Oh, look. I haven't got time to go to no 
        stonings. He's not well again. "
225,HARRY THE HAGGLER," Stones, sir? "
226,MANDY," Naah. They've got a lot there, lying around on the 
        ground. "
227,HARRY THE HAGGLER," Oh, not like these, sir. Look at this. Feel 
        the quality of that. That's craftsmanship, sir. "
228,MANDY," Hmmm. Aah, all right. We'll have, uh, two with points 
        and... a big flat one. "
229,BRIAN," Could I have a flat one, Mum? "
230,MANDY, Shh! 
231,BRIAN, Sorry. Dad. 
232,MANDY," Ehh, all right. Two points, ah, two flats, and a packet 
        of gravel. "
233,HARRY THE HAGGLER," Packet of gravel. Should be a good one this 
        afternoon. "
234,MANDY, Hehh? 
235,HARRY THE HAGGLER, Local boy. 
236,MANDY," Oh, good. "
237,HARRY THE HAGGLER, Enjoy yourselves. 
238,CROWD OF WOMEN, 
239,JEWISH OFFICIAL," Matthias, son of Deuteronomy of Gath,... "
240,MATTHIAS, Do I say 'yes'? 
241,STONE HELPER #1, Yes. 
242,MATTHIAS, Yes. 
243,OFFICIAL," ...you have been found guilty by the elders of the 
        town of uttering the name of our Lord, and so, as a blasphemer,... "
244,CROWD, Ooooh! 
245,OFFICIAL, ...you are to be stoned to death. 
246,CROWD, Ahh! 
247,MATTHIAS," Look. I-- I'd had a lovely supper, and all I said to 
        my wife was, 'That piece of halibut was good enough for Jehovah.' "
248,CROWD, Oooooh! 
249,OFFICIAL, Blasphemy! He's said it again! 
250,CROWD," Yes! Yes, he did! He did!... "
251,OFFICIAL, Did you hear him?! 
252,CROWD," Yes! Yes, we did! We did!... "
253,WOMAN #1, Really! 
254,OFFICIAL, Are there any women here today? 
255,CROWD, No. No. No. No... 
256,OFFICIAL," Very well. By virtue of the authority vested in me--
        "
257,MATTHIAS, Oww! Lay off! We haven't started yet! 
258,OFFICIAL," Come on! Who threw that? Who threw that stone? Come 
        on. "
259,CROWD," She did! She did! He did! He! He. He. Him. Him. Him. 
        Him. He did. "
260,CULPRIT WOMAN, Sorry. I thought we'd started. 
261,OFFICIAL, Go to the back. 
262,CULPRIT WOMAN," Oh, dear. "
263,OFFICIAL," Always one, isn't there? Now, where were we? "
264,MATTHIAS," Look. I don't think it ought to be blasphemy, just 
        saying 'Jehovah'. "
265,CROWD, Oooh! He said it again! Oooh!... 
266,OFFICIAL, You're only making it worse for yourself! 
267,MATTHIAS," Making it worse?! How could it be worse?! Jehovah! 
        Jehovah! Jehovah! "
268,CROWD, Oooooh!... 
269,OFFICIAL, I'm warning you. If you say Jehovah once more...
270,MATTHIAS, 
271,OFFICIAL, Come on. Who threw that? 
272,CROWD," She did! It was her! He! He. Him. Him. Him. Him. Him. 
        Him. "
273,OFFICIAL, Was it you? 
274,MRS. A., Yes. 
275,OFFICIAL, Right! 
276,MRS. A.," Well, you did say 'Jehovah'. "
277,CROWD, Ah! Ooooh!... 
278,OFFICIAL," Stop! Stop, will you?! Stop that! Stop it! Now, 
        look! No one is to stone anyone until I blow this whistle! Do you 
        understand?! Even, and I want to make this absolutely clear, even if 
        they do say 'Jehovah'. "
279,CROWD, Ooooooh!... 
280,WOMAN #1, Good shot! 
281,BRIAN," Have I got a big nose, Mum? "
282,MANDY," Oh, stop thinking about sex. "
283,BRIAN, I wasn't. 
284,MANDY," You're always on about it... morning, noon, and night. 
        'Will the girls like this?' 'Will the girls like that?' 'Is it too big?' 
        'Is it too small?' "
285,BRIAN," I was... just wondering if you thought my nose was--
        "
286,MANDY," Get your filthy little mind off it! You're forty years 
        old, now. You should have grown out of all that. "
287,BRIAN," I'm only just getting interested in it, Mum. "
288,MANDY," It's time you got interested in a job, my lad. "
289,LEPER #1, Spare a shekel. 
290,LEPER #2," God bless you, sir. "
291,LEPER #3, Alms for a leper. 
292,LEPER #4, Alms for a leper. 
293,EX-LEPER," Alms for an ex-leper. Bloody donkey owners. All the 
        same, aren't they? Never have any change. Oh, here's a touch. Spare a 
        talent for an old ex-leper. "
294,MANDY, Buzz off! 
295,EX-LEPER, Spare a talent for an old ex-leper. 
296,MANDY, A talent? That's more than he earns in a month. 
297,EX-LEPER," Half a talent, then. "
298,MANDY," No, go away! "
299,EX-LEPER," Come on, Big Nose. Let's haggle. "
300,BRIAN, What? 
301,EX-LEPER," All right. Cut the haggling. Say you open at one 
        shekel. I start at two thousand. We close about eighteen hundred. "
302,BRIAN, No. 
303,EX-LEPER, Seventeen-fifty? 
304,MANDY, Go away! 
305,EX-LEPER, Seventeen-forty. 
306,MANDY, Look. Will you leave him alone? 
307,EX-LEPER," All right. Two shekels. Just two. Isn't this fun, 
        eh? "
308,MANDY," Look. He's not giving you any money, so piss off! "
309,EX-LEPER," All right, sir. My final offer: half a shekel for an 
        old ex-leper. "
310,BRIAN, Did you say... 'ex-leper'? 
311,EX-LEPER," That's right, sir. Sixteen years behind the bell, 
        and proud of it, sir. "
312,BRIAN," Well, what happened? "
313,EX-LEPER," I was cured, sir. "
314,BRIAN, Cured? 
315,EX-LEPER," Yes, sir, a bloody miracle, sir. God bless you. "
316,BRIAN, Who cured you? 
317,EX-LEPER," Jesus did, sir. I was hopping along, minding my own 
        business. All of a sudden, up he comes. Cures me. One minute I'm a leper 
        with a trade, next minute my livelihood's gone. Not so much as a by your 
        leave. 'You're cured mate.' Bloody do-gooder. "
318,BRIAN," Well, why don't you go and tell him you want to be a 
        leper again? "
319,EX-LEPER," Ah, yeah. I could do that, sir. Yeah. Yeah, I could 
        do that, I suppose. What I was thinking was, I was going to ask him if 
        he could make me a bit lame in one leg during the middle of the week. 
        You know, something beggable, but not leprosy, which is a pain in the 
        arse, to be blunt. Excuse my French, sir, but, uh-- "
320,MANDY, Brian! Come and clean your room out. 
321,BRIAN, There you are. 
322,EX-LEPER," Thank you, sir. Thanks-- Half a denary for me bloody 
        life story? "
323,BRIAN, There's no pleasing some people. 
324,EX-LEPER," That's just what Jesus said, sir. "
325,MANDY, Oh. 
326,OFFICER, Good afternoon. 
327,MANDY," Oh, ah. Hello, officer. Ehh. I'll be with you in a few 
        moments. All right, dear? "
328,BRIAN, What's he doing here? 
329,MANDY," Now, don't start that Brian, and go and clean your room 
        out. "
330,BRIAN, Bloody Romans. 
331,MANDY," Now, look, Brian. If it wasn't for them, we wouldn't 
        have all this, and don't you forget it. "
332,BRIAN," We don't owe the Romans anything, Mum. "
333,MANDY," Well, that's not entirely true, is it Brian? "
334,BRIAN, What do you mean? 
335,MANDY," Well, you know you were asking me about your, uh... "
336,BRIAN, My nose? 
337,MANDY," Yes. Well, there's a reason it's... like it is, Brian.
        "
338,BRIAN, What is it? 
339,MANDY," Well, I suppose I should have told you a long time ago, 
        but... "
340,BRIAN, What? 
341,MANDY," Well, Brian,... your father isn't Mr. Cohen. "
342,BRIAN, I never thought he was. 
343,MANDY," Now, none of your cheek! He was a Roman, Brian. He was 
        a centurion in the Roman army. "
344,BRIAN, You mean... you were raped? 
345,MANDY," Well, at first, yes. "
346,BRIAN, Who was it? 
347,MANDY," Heh. Nortius Maximus his name was. Hmm. Promised me the 
        known world he did. I was to be taken to Rome, House by the Forum. 
        Slaves. Asses' milk. As much gold as I could eat. Then, he, having his 
        way with me had... voom! Like a rat out of an aqueduct. "
348,BRIAN, The bastard! 
349,MANDY," Yeah. So, next time you go on about the 'bloody 
        Romans', don't forget you're one of them. "
350,BRIAN," I'm not a Roman, Mum, and I never will be! I'm a Kike! 
        A Yid! A Hebe! A Hook-nose! I'm Kosher, Mum! I'm a Red Sea Pedestrian, 
        and proud of it! "
351,MANDY," Huh. Sex, sex, sex. That's all they think about, huh? 
        Well, how are you, then, officer? "
352,ANNOUNCER," Ladies and gentlemen. The next contest is 
        between... Frank Goliath, the Macedonian baby-crusher, and Boris 
        Mineburg. "
353,BRIAN, Want some... 
354,VOICE," Thank you, fellows. "
355,BRIAN," Larks' tongues. Wrens' livers. Chaffinch brains. 
        Jaguars' earlobes. Wolf nipple chips. Get 'em while they're hot. They're 
        lovely. Dromedary pretzels, only half a denar. Tuscany fried bats. "
356,JUDITH," I do feel, Reg, that any Anti-Imperialist group like 
        ours must reflect such a divergence of interests within its power-base.
        "
357,REG, Agreed. Francis? 
358,FRANCIS," Yeah. I think Judith's point of view is very valid, 
        Reg, provided the Movement never forgets that it is the inalienable 
        right of every man-- "
359,STAN, Or woman. 
360,FRANCIS, Or woman... to rid himself-- 
361,STAN, Or herself. 
362,FRANCIS, Or herself. 
363,REG, Agreed. 
364,FRANCIS," Thank you, brother. "
365,STAN, Or sister. 
366,FRANCIS, Or sister. Where was I? 
367,REG, I think you'd finished. 
368,FRANCIS, Oh. Right. 
369,REG," Furthermore, it is the birthright of every man-- "
370,STAN, Or woman. 
371,REG," Why don't you shut up about women, Stan. You're putting 
        us off. "
372,STAN," Women have a perfect right to play a part in our 
        movement, Reg. "
373,FRANCIS," Why are you always on about women, Stan? "
374,STAN, I want to be one. 
375,REG, What? 
376,STAN," I want to be a woman. From now on, I want you all to 
        call me 'Loretta'. "
377,REG, What?! 
378,LORETTA, It's my right as a man. 
379,JUDITH," Well, why do you want to be Loretta, Stan? "
380,LORETTA, I want to have babies. 
381,REG, You want to have babies?! 
382,LORETTA," It's every man's right to have babies if he wants 
        them. "
383,REG, But... you can't have babies. 
384,LORETTA, Don't you oppress me. 
385,REG," I'm not oppressing you, Stan. You haven't got a womb! 
        Where's the foetus going to gestate?! You going to keep it in a box?!
        "
386,LORETTA, 
387,JUDITH," Here! I-- I've got an idea. Suppose you agree that he 
        can't actually have babies, not having a womb, which is nobody's fault, 
        not even the Romans', but that he can have the right to have babies. "
388,FRANCIS," Good idea, Judith. We shall fight the oppressors for 
        your right to have babies, brother. Sister. Sorry. "
389,REG, What's the point? 
390,FRANCIS, What? 
391,REG," What's the point of fighting for his right to have babies 
        when he can't have babies?! "
392,FRANCIS," It is symbolic of our struggle against oppression.
        "
393,REG, Symbolic of his struggle against reality. 
394,GUARD, Get out there. 
395,BORIS," It's, um-- "
396,GUARD, Get out there. 
397,BORIS, It's dangerous out there. Ah ah. Ah! Oh. 
398,CROWD, Aaah. Ohh... 
399,SPECTATOR, What a load of rubbish. 
400,BRIAN, Larks' tongues. Otters' noses. Ocelot spleens. 
401,REG, Got any nuts? 
402,BRIAN," I haven't got any nuts. Sorry. I've got wrens' livers, 
        badgers' spleens-- "
403,REG," No, no, no. "
404,BRIAN, Otters' noses? 
405,REG, I don't want any of that Roman rubbish. 
406,JUDITH, Why don't you sell proper food? 
407,BRIAN, Proper food? 
408,REG," Yeah, not those rich imperialist tit-bits. "
409,BRIAN," Well, don't blame me. I didn't ask to sell this stuff.
        "
410,REG," All right. Bag of otters' noses, then. "
411,FRANCIS, Make it two. 
412,REG, Two. 
413,FRANCIS," Thanks, Reg. "
414,BRIAN, Are you the Judean People's Front? 
415,REG, Fuck off! 
416,BRIAN, What? 
417,REG," Judean People's Front. We're the People's Front of Judea! 
        Judean People's Front. Cawk. "
418,FRANCIS, Wankers. 
419,BRIAN, Can I... join your group? 
420,REG, No. Piss off. 
421,BRIAN," I didn't want to sell this stuff. It's only a job. I 
        hate the Romans as much as anybody. "
422,PEOPLE'S FRONT OF JUDEA, Shhhh. Shhhh. Shhh. Shh. Shhhh. 
423,REG, Stumm. 
424,JUDITH, Are you sure? 
425,BRIAN," Oh, dead sure. I hate the Romans already. "
426,REG," Listen. If you wanted to join the P.F.J., you'd have to 
        really hate the Romans. "
427,BRIAN, I do! 
428,REG," Oh, yeah? How much? "
429,BRIAN, A lot! 
430,REG," Right. You're in. Listen. The only people we hate more 
        than the Romans are the fucking Judean People's Front. "
431,P.F.J., Yeah... 
432,JUDITH, Splitters. 
433,P.F.J., Splitters... 
434,FRANCIS, And the Judean Popular People's Front. 
435,P.F.J.," Yeah. Oh, yeah. Splitters. Splitters... "
436,LORETTA, And the People's Front of Judea. 
437,P.F.J., Yeah. Splitters. Splitters... 
438,REG, What? 
439,LORETTA, The People's Front of Judea. Splitters. 
440,REG, We're the People's Front of Judea! 
441,LORETTA, Oh. I thought we were the Popular Front. 
442,REG, People's Front! C-huh. 
443,FRANCIS," Whatever happened to the Popular Front, Reg? "
444,REG, He's over there. 
445,P.F.J., Splitter! 
446,GOLIATH, 
447,SPECTATOR, Absolutely dreadful. Hmm. 
448,CROWD, 
449,REG," Yes, brother! Ha ha. What's your name? "
450,BRIAN, Brian. Brian Cohen. 
451,REG," We may have a little job for you, Brian. "
452,CENTURION," What's this, then? 'Romanes Eunt Domus'? 'People 
        called Romanes they go the house'? "
453,BRIAN," It-- it says, 'Romans, go home'. "
454,CENTURION," No, it doesn't. What's Latin for 'Roman'? Come on!
        "
455,BRIAN, Aah! 
456,CENTURION, Come on! 
457,BRIAN, 'R-- Romanus'? 
458,CENTURION, Goes like...? 
459,BRIAN, 'Annus'? 
460,CENTURION, Vocative plural of 'annus' is...? 
461,BRIAN, Eh. 'Anni'? 
462,CENTURION, 'Romani'. 'Eunt'? What is 'eunt'? 
463,BRIAN, 'Go'. Let-- 
464,CENTURION, Conjugate the verb 'to go'. 
465,BRIAN," Uh. 'Ire'. Uh, 'eo'. 'Is'. 'It'. 'Imus'. 'Itis'. 
        'Eunt'. "
466,CENTURION, So 'eunt' is...? 
467,BRIAN," Ah, huh, third person plural, uh, present indicative. 
        Uh, 'they go'. "
468,CENTURION," But 'Romans, go home' is an order, so you must use 
        the...? "
469,BRIAN, The... imperative! 
470,CENTURION, Which is...? 
471,BRIAN," Umm! Oh. Oh. Um, 'i'. 'I'! "
472,CENTURION, How many Romans? 
473,BRIAN, Ah! 'I'-- Plural. Plural. 'Ite'. 'Ite'. 
474,CENTURION, 'Ite'. 
475,BRIAN, Ah. Eh. 
476,CENTURION, 'Domus'? 
477,BRIAN, Eh. 
478,CENTURION, Nominative? 
479,BRIAN, Oh. 
480,CENTURION," 'Go home'? This is motion towards. Isn't it, boy?
        "
481,BRIAN," Ah. Ah, dative, sir! Ahh! No, not dative! Not the 
        dative, sir! No! Ah! Oh, the... accusative! Accusative! Ah! 'Domum', 
        sir! 'Ad domum'! Ah! Oooh! Ah! "
482,CENTURION, Except that 'domus' takes the...? 
483,BRIAN," The locative, sir! "
484,CENTURION, Which is...?! 
485,BRIAN, 'Domum'. 
486,CENTURION, 'Domum'. 
487,BRIAN, Aaah! Ah. 
488,CENTURION, 'Um'. Understand? 
489,BRIAN," Yes, sir. "
490,CENTURION," Now, write it out a hundred times. "
