,name,text,date
2,Michael Palin," Yes, you know, we find that nine 
            out of ten British housewives can't tell the difference between 
            Whizzo butter and a dead crab. ",1969-10-06 05:02:20
3,John Cleese," Here. Here! You're on 
            television, aren't you? ",1969-10-06 05:02:56
4,Michael Palin, ,1969-10-06 05:26:22
5,John Cleese," He does the thing with one of 
            those silly women who can't tell Whizzo butter from a dead crab. ",1969-10-06 05:27:47
6,Terry Jones," You try that around here, young 
            man, and we'll slit your face.",1969-10-06 05:34:50
0,Eric Idle," Good evening and welcome to another edition of 
            It's the Arts. And we kick off this evening with Cinema.",1969-10-06 05:50:47
1,John Cleese," Good evening. One of the most prolific film 
            directors of this age, or indeed of any age, is Sir Edward Ross, 
            back in his native country for the first time for five years to open 
            a season of his works at the National Film Theatre, and we are 
            indeed fortunate to have him with us in this studio tonight.",1969-10-06 06:14:55
2,Graham Chapman, Good evening.,1969-10-06 06:48:53
3,John Cleese, Edward... you don't mind if I call you Edward?,1969-10-06 07:37:58
4,Graham Chapman," No, not at all.",1969-10-06 08:21:45
5,John Cleese," Because it does worry some people - I don't know why 
            - but they are a little sensitive so I take the precaution of asking 
            on these occasions.",1969-10-06 08:36:57
6,Graham Chapman," No, that's fine.",1969-10-06 08:39:11
7,John Cleese," So Edward's all right. Splendid. I'm sorry to have 
            brought it up.",1969-10-06 09:29:53
8,Graham Chapman," No, no, please. Edward it is.",1969-10-06 09:47:10
9,John Cleese," Well thank you very much for being so helpful. And 
            it's more than my job's worth to, er...",1969-10-06 10:42:04
10,Graham Chapman," Yes, quite.",1969-10-06 10:58:27
11,John Cleese," Makes it rather difficult to establish a rapport - 
            put the other person at his ease...",1969-10-06 11:04:40
12,Graham Chapman, Quite.,1969-10-06 11:32:35
13,John Cleese," Silly little point but it does seem to matter. 
            Still, er, least said the better. Ted, when you first started you... 
            I hope you don't mind if I call you Ted, er, I mean as opposed to 
            Edward?",1969-10-06 12:35:34
14,Graham Chapman," No, no, everyone calls me Ted.",1969-10-06 12:41:15
15,John Cleese," Well of course it's shorter, isn't it.",1969-10-06 13:35:57
16,Graham Chapman, Yes it is.,1969-10-06 15:02:47
17,John Cleese, And much less formal!,1969-10-06 15:19:55
18,Graham Chapman," Yes, Ted, Edward or anything!",1969-10-06 15:40:11
19,John Cleese," Thank you. Um, incidentally, do call me Tom. I don't 
            want you bothering with this 'Thomas' nonsense! Ha ha ha ha! Now 
            where were we? Ah yes. Eddie Baby, when you first started in the...",1969-10-06 17:53:56
20,Graham Chapman," I'm sorry, I'm sorry, but I don't like being called 
            ""Eddie Baby"".",1969-10-06 18:52:23
21,John Cleese, What?,1969-10-06 19:26:44
22,Graham Chapman," I don't like being called ""Eddie Baby"".",1969-10-06 20:48:25
23,John Cleese, ,1969-10-06 21:17:10
24,Graham Chapman," Yes, you did! Now if you could get on with the 
            interview...",1969-10-06 22:15:23
25,John Cleese," I don't think I did call you ""Eddie Baby"".",1969-10-06 22:28:40
26,Graham Chapman, You did!,1969-10-06 22:42:04
27,John Cleese," Did I call him ""Eddie Baby""?",1969-10-06 22:52:54
28,John Cleese," I didn't really call you ""Eddie Baby"", did I, 
            sweetie?",1969-10-07 02:20:16
29,Graham Chapman," Don't call me ""sweetie""!",1969-10-07 02:58:14
30,John Cleese," Can I call you ""sugar plum""?",1969-10-07 04:18:09
31,Graham Chapman, No.,1969-10-07 04:24:30
32,John Cleese," ""Pussycat""?",1969-10-07 05:43:32
33,Graham Chapman, No!,1969-10-07 07:03:30
34,John Cleese," ""Angel drawers""?",1969-10-07 07:10:24
35,Graham Chapman, No you may not! Get on with it!,1969-10-07 08:45:58
36,John Cleese," Can I call you ""Frank""?",1969-10-07 11:12:20
37,Graham Chapman, ,1969-10-07 12:00:40
38,John Cleese," It's a nice name. Richard Nixon's got a hedgehog 
            called Frank.",1969-10-07 13:40:48
39,Graham Chapman, What IS going on?,1969-10-07 13:50:21
40,John Cleese," Now Frank -- Fran -- Frannie -- little 
            Frannie-pooh...",1969-10-07 14:05:48
41,Graham Chapman," No. I'm leaving. I'm off. I'm going. I've never...
            ",1969-10-07 14:55:31
42,John Cleese, ,1969-10-07 14:56:15
43,Graham Chapman, ,1969-10-07 15:03:24
44,John Cleese," Tell us about your latest film, Sir Edward, if you'd 
            be so very kind.",1969-10-07 15:24:22
45,Graham Chapman," None of this ""Pussycat"" nonsense?",1969-10-07 16:54:58
46,John Cleese, Promise. ,1969-10-07 17:33:16
47,Graham Chapman, My latest film?,1969-10-07 17:45:27
48,John Cleese," Yes, Sir Edward.",1969-10-07 18:22:13
49,Graham Chapman," Well the idea, funnily enough, is based on an idea I 
            had when I first joined the industry in 1919. Of course, in those 
            days I was only the tea boy and...",1969-10-07 19:17:23
50,John Cleese, Oh shut up!,1969-10-07 20:31:36
0,Eric Idle," Last week the Royal Festival Hall saw the 
            first performance of a new symphony by one of the world's leading 
            modern composers, Arthur 'Two sheds' Jackson. Mr. Jackson.",1969-10-07 23:56:57
1,Terry Jones, Hello.,1969-10-08 00:47:40
2,Eric Idle," May I just sidetrack for 
            one moment. This -- what shall I call it -- nickname of yours...",1969-10-08 03:05:21
3,Terry Jones, Ah yes.,1969-10-08 03:10:01
4,Eric Idle," ""Two sheds"". How did you come by it?",1969-10-08 03:14:46
5,Terry Jones," Well, I don't use it myself, but some 
            of my friends call me ""Two Sheds"".",1969-10-08 03:30:51
6,Eric Idle, And do you in fact have two sheds?,1969-10-08 05:50:47
7,Terry Jones," No, I've only got one. I've had one for 
            some time, but a few years ago I said I was thinking of getting 
            another, and since then some people have called me ""Two Sheds"".",1969-10-08 06:36:08
8,Eric Idle," In spite of the fact that you only have 
            one.",1969-10-08 07:26:42
9,Terry Jones, Yes.,1969-10-08 08:07:23
10,Eric Idle," And are you still intending to purchase 
            this second shed?",1969-10-08 08:27:23
11,Terry Jones, ,1969-10-08 09:29:46
12,Eric Idle, ...To bring you in line with your epithet?,1969-10-08 09:54:00
13,Terry Jones, No.,1969-10-08 11:04:25
14,Eric Idle," I see, I see. Well to return to your 
            symphony.",1969-10-08 11:42:36
15,Terry Jones, Ah yes.,1969-10-08 13:40:49
16,Eric Idle, Did you write this symphony in the shed?,1969-10-08 14:53:43
17,Terry Jones, ,1969-10-08 14:55:37
18,Eric Idle," Have you written any of your recent works 
            in this shed of yours?",1969-10-08 15:05:23
19,Terry Jones," No, no, not at all. It's just an 
            ordinary garden shed.",1969-10-08 15:11:57
20,Eric Idle," I see, I see. And you're thinking of 
            buying this second shed to write in!",1969-10-08 15:40:18
21,Terry Jones," No, no. Look. This shed business -- it 
            doesn't really matter. The sheds aren't important. A few friends 
            call me Two Sheds and that's all there is to it. I wish you'd ask me 
            about the music. Everybody talks about the sheds. They've got it out 
            of proportion -- I'm a composer. I'm going to get rid of the shed. 
            I'm fed up with it!",1969-10-08 17:21:50
22,Eric Idle," Then you'll be Arthur 'No Sheds' Jackson, 
            eh?",1969-10-08 18:07:25
23,Terry Jones," Look, forget about the sheds. They 
            don't matter.",1969-10-08 18:54:25
24,Eric Idle, ,1969-10-08 19:31:54
25,Terry Jones, Huh!,1969-10-08 19:46:37
26,Eric Idle," I understand that you used to be 
            interested in train-spotting.",1969-10-08 19:58:03
27,Terry Jones, What?,1969-10-08 19:59:32
28,Eric Idle," I understand that, about thirty years ago, 
            you were interested in train-spotting.",1969-10-08 21:40:19
29,Terry Jones," Well what's that got to do with my 
            bloody music?",1969-10-08 22:00:23
30,John Cleese, ,1969-10-08 23:08:33
31,Eric Idle," Yes, a little. Good Lord! You're the man 
            who interviewed Sir Edward Ross earlier.",1969-10-08 23:13:39
32,John Cleese," Exactly. Well we interviewers are 
            more than a match for the likes of you, ""Two Sheds"".",1969-10-09 00:21:40
33,Eric Idle," Yes, make yourself scarce, ""Two Sheds"". 
            This studio isn't big enough for the three of us! ",1969-10-09 03:30:10
34,Terry Jones," Here, what are you doing? Stop it! 
            [Crash.]",1969-10-09 04:01:13
35,John Cleese," Get your own Arts program, you 
            fairy!",1969-10-09 04:31:00
36,Eric Idle," Arthur ""Two Sheds"" Jackson... Never mind, 
            Timmy.",1969-10-09 04:31:45
37,John Cleese," Oh Mike, you're such a comfort.",1969-10-09 06:31:47
0,Eric Idle," And now for more news of the momentous artistic 
            event in which Pablo Picasso is doing a specially commissioned 
            painting for us whilst riding a bicycle. Pablo Picasso - the founder 
            of modern art - without doubt the greatest abstract painter ever... 
            for the first time painting in motion. But first of all let's have a 
            look at the route he'll be taking. ",1969-10-09 06:51:20
1,Michael Palin," Well Picasso will be starting, David, at 
            Chichester here, he'll then cycle on the A29 to Fontwell, he'll then 
            take the A272 which will bring him on to the A3 just north of 
            Hindhead here. From then on Pablo has a straight run on the A3 until 
            he meets the South Circular at Battersea here. Well, this is a truly 
            remarkable occasion as it is the first time that a modern artist of 
            such stature has taken the A272, and it'll be very interesting to 
            see how he copes with the heavy traffic round Wisborough Green. 
            Vicky. ",1969-10-09 07:05:16
2,Eric Idle," Well Picasso will be riding his Viking Super 
            Roadster with the drop handlebars and the dual-thread wheel-rims and 
            with his Wiley-Prat 20-1 synchro-mesh he should experience 
            difficulties on the sort of road surfaces they just don't get 
            abroad. Mitzie. ",1969-10-09 12:30:20
3,Eric Idle," And now for the latest report on Picasso's 
            progress over to Reg Moss on the Guildford by-pass. ",1969-10-09 13:03:49
4,Eric Idle," Well there's no sign of Picasso at the moment, David. 
            But he should be through here at any moment. However I do have Geppo 
            with me, Mr. Ron Geppo, British Cycling Sprint Champion and this 
            year's winner of the Derby-Doncaster rally. ",1969-10-09 13:17:36
5,Graham Chapman, ,1969-10-09 13:42:28
6,Eric Idle," Well, thank you Ron. Well, there still seems to be no 
            sign of Picasso, so I'll hand you back to the studio. ",1969-10-09 14:08:29
7,Eric Idle," Well, we've just heard that Picasso is 
            approaching the Tolworth roundabout on the A3 so come in Sam Trench 
            at Tolworth. ",1969-10-09 14:19:48
8,John Cleese, ,1969-10-09 15:12:48
9,Michael Palin, That's not Picasso - that's Kandinsky. ,1969-10-09 15:17:13
10,John Cleese," (excited) Good lord, you're right. It's Kandinsky. 
            Wassily Kandinsky, and who's this here with him? It's Braque. 
            Georges Braque, the Cubist, painting a bird in flight over a 
            cornfield and going very fast down the hill towards Kingston and...
            ",1969-10-09 17:23:51
11,Michael Palin, He's German! ,1969-10-09 18:12:24
12,John Cleese," But as yet absolutely no sign of Pablo Picasso, 
            and so from Tolworth roundabout back to the studio. ",1969-10-09 18:34:50
13,Eric Idle," Well I think I can help you there Sam, we're 
            getting reports in from the AA that Picasso, Picasso has fallen 
            off... he's fallen off his bicycle on the B2127 just outside 
            Ewhurst, trying to get a short cut through to Dorking via Peaslake 
            and Goreshall. Well, Picasso is reported to be unhurt, but the pig 
            has a slight headache. And on that note we must say goodnight to 
            you. Picasso has failed in his first bid for international cycling 
            fame. So from all of us here at the 'It's the Arts' studio, it's 
            goodnight. ",1969-10-09 19:02:45
0,Eric Idle," This man is Ernest Scribbler... writer of 
            jokes. In a few moments, he will have written the funniest joke in 
            the world... and, as a consequence, he will die ... laughing. ",1969-10-09 20:16:41
1,Eric Idle," It was obvious that this joke was lethal... no 
            one could read it and live ...",1969-10-09 21:55:32
2,Terry Jones," This morning, shortly after eleven o'clock, 
            comedy struck this little house in Dibley Road. Sudden ...violent 
            ... comedy. Police have sealed off the area, and Scotland Yard's 
            crack inspector is with me now.",1969-10-09 22:38:51
3,Graham Chapman," I shall enter the house and attempt to remove 
            the joke. ",1969-10-09 23:55:05
4,Graham Chapman," I shall be aided by the sound of somber music, 
            played on gramophone records, and also by the chanting of laments by 
            the men of Q Division ... ",1969-10-10 01:14:33
5,Terry Jones," There goes a brave man. Whether he comes out 
            alive or not, this will surely be remembered as one of the most 
            courageous and gallant acts in police history. ",1969-10-10 02:12:38
6,Eric Idle," It was not long before the Army became 
            interested in the military potential of the Killer Joke. Under top 
            security, the joke was hurried to a meeting of Allied Commanders at 
            the Ministry of War.",1969-10-10 02:24:17
7,Eric Idle," Top brass were impressed. Tests on Salisbury 
            Plain confirmed the joke's devastating effectiveness at a range of 
            up to fifty yards.",1969-10-10 02:41:46
8,Graham Chapman," All through the winter of '43 we had translators 
            working, in joke-proof conditions, to try and produce a German 
            version of the joke. They worked on one word each for greater 
            safety. One of them saw two words of the joke and spent several 
            weeks in hospital· But apart from that things went pretty quickly, 
            and we soon had the joke by January, in a form which our troops 
            couldn't understand but which the Germans could.",1969-10-10 03:42:26
9,Eric Idle," So, on July 8th, I944, the joke was first told 
            to the enemy in the Ardennes...",1969-10-10 03:49:39
10,Eric Idle," It was a fantastic success. Over sixty 
            thousand times as powerful as Britain's great pre-war joke ...",1969-10-10 04:06:43
11,Eric Idle, In action it was deadly.,1969-10-10 05:30:13
12,Terry Jones," Wenn ist das Nunstrück git und Slotermeyer? 
                Ja! .. Beiherhund das Oder die Flipperwaldt gersput!",1969-10-10 05:38:48
13,Eric Idle, The German casualties were appalling.,1969-10-10 05:47:21
14,John Cleese, Vott is the big joke?,1969-10-10 07:29:33
15,Michael Palin," I can only give you name, rank, and why did 
                the chicken cross the road?",1969-10-10 07:37:15
16,John Cleese, That's not funny! ,1969-10-10 09:06:53
17,Michael Palin, All right. How do you make a Nazi cross?,1969-10-10 09:45:29
18,John Cleese, ,1969-10-10 10:24:32
19,Michael Palin, Tread on his corns. ,1969-10-10 12:08:09
20,John Cleese, Gott in Himell; that's not funny! ,1969-10-10 12:16:17
21,Michael Palin," I can stand physical pain, you know.",1969-10-10 14:43:33
22,John Cleese," Ah... you're no fun. All right, Otto.",1969-10-10 16:19:36
23,Michael Palin," Oh no - anything but that please no, all 
                right I'll tell you.",1969-10-10 19:07:43
24,John Cleese, Quick Otto. The typewriter.,1969-10-10 21:39:24
25,Michael Palin," Wenn ist das Nunstrück git und Slotermeyer? 
                Ja!... Beiherhund das Oder die Flipperwaldt gersput.",1969-10-10 22:00:00
26,John Cleese, Ach! Zat iss not funny!,1969-10-10 23:03:18
27,Michael Palin, ,1969-10-10 23:53:00
28,Eric Idle," But at Peenemunde in the Autumn of '44, 
                the Germans were working on a joke of their own.",1969-10-11 00:05:29
29,Eric Idle," Die ist ein Kinnerhunder und zwei Mackel 
                über und der bitte schön ist den Wunderhaus sprechensie. 'Nein' 
                sprecht der Herren 'Ist aufern borger mit zveitingen'.",1969-10-11 00:31:47
30,Graham Chapman, We let you know.,1969-10-11 00:49:46
31,Eric Idle," But by December their joke was ready, and 
                Hitler gave the order for the German V-Joke to be broadcast in 
                English. ",1969-10-11 02:22:14
32,Terry Jones," In 1945 Peace broke out. It 
                was the end of the Joke. Joke warfare was banned at a special 
                session of the Geneva Convention, and in 1950 the last remaining 
                copy of the joke was laid to rest here in the Berkshire 
                countryside, never to be told again.",1969-10-11 02:25:56
0,Terry Jones, Good afternoon.,1969-10-11 02:29:52
1,Graham Chapman, Afternoon,1969-10-11 03:07:39
2,Terry Jones," Ah, lovely day isn't it?",1969-10-11 03:09:01
3,Graham Chapman," Eh, 'tis that.",1969-10-11 04:09:04
4,Terry Jones, You here on holiday?,1969-10-11 04:34:10
5,Graham Chapman," Nope, I live 'ere.",1969-10-11 04:51:42
6,Terry Jones," Oh, good for you. Uh...those ARE sheep 
            aren't they?",1969-10-11 04:56:11
7,Graham Chapman, Yeh.,1969-10-11 04:58:04
8,Terry Jones," Hmm, thought they were. Only, what are 
            they doing up in the trees?",1969-10-11 08:34:58
9,Graham Chapman," A fair question and one that in recent 
            weeks 'as been much on my mind. It's my considered opinion that 
            they're nestin'.",1969-10-11 08:53:24
10,Terry Jones, Nesting?,1969-10-11 12:01:15
11,Graham Chapman, Aye.,1969-10-11 12:33:13
12,Terry Jones, Like birds?,1969-10-11 13:04:39
13,Graham Chapman," Exactly. It's my belief that these 
            sheep are laborin' under the misapprehension that they're birds. 
            Observe their be'avior. Take for a start the sheeps' tendency to 'op 
            about the field on their 'ind legs. Now witness their attempts to fly 
            from tree to tree. Notice that they do not so much fly as...plummet.",1969-10-11 13:35:20
14,Terry Jones," Yes, but why do they think they're 
            birds?",1969-10-11 15:44:30
15,Graham Chapman," Another fair question. One thing is 
            for sure, the sheep is not a creature of the air. They have enormous 
            difficulty in the comparatively simple act of perchin'. ",1969-10-11 17:08:05
16,Terry Jones, But where did they get the idea?,1969-10-11 17:09:11
17,Graham Chapman," From Harold. He's that most dangerous 
            of creatures, a clever sheep. 'e's realized that a sheep's life 
            consists of standin' around for a few months and then bein' eaten. 
            And that's a depressing prospect for an ambitious sheep.",1969-10-11 17:15:58
18,Terry Jones, Well why don't you just remove Harold?,1969-10-11 18:23:21
19,Graham Chapman," Because of the enormous commercial 
            possibilities if 'e succeeds.",1969-10-11 18:46:23
20,Eric Idle," And what exactly are the commercial 
            possibilities of ovine aviation?",1969-10-11 20:47:47
0,John Cleese," (JOHN) Bonsoir - ici nous avons 
            les diagrammes modernes d'un mouton anglo-français ... maintenant 
            ... baa-aa, baa-aa... nous avons, dans la tête, le cabinc. Ici, on 
            se trouve le petit capitaine Anglais, Monsieur Trubshawe. ",1969-10-11 22:27:47
1,Michael Palin," Vive Brian, wherever you are.
            ",1969-10-11 22:41:00
2,John Cleese," D'accord, d'accord. Maintenant, 
            je vous présente mon collègue, le pour célèbre, Jean-Brian 
            Zatapathique. ",1969-10-11 22:57:24
3,Michael Palin," Maintenant, le mouton ... le 
            landing ... les wheels, bon. ",1969-10-12 00:43:02
4,John Cleese," Bon, les wheels, ici. ",1969-10-12 00:44:50
5,Michael Palin," C'est formidable, n'est ce pas 
            ... ",1969-10-12 01:40:03
6,John Cleese," Les voyageurs ... les bagages 
            ... ils sont ... ici! ",1969-10-12 02:16:58
7,Graham Chapman," Oh yes, we get a lot of French 
            people round here. ",1969-10-12 02:34:17
8,Terry Jones, Ooh Yes. ,1969-10-12 03:06:08
9,Michael Palin, All over yes. ,1969-10-12 04:21:18
10,Graham Chapman, Oh very well. ,1969-10-12 04:48:42
11,John Cleese, So do I. ,1969-10-12 06:48:05
12,Michael Palin, Me too. ,1969-10-12 06:56:39
13,Graham Chapman," Oh yes 1 like them. I mean, 
            they think well don't they? I mean, be fair- Pascal. ",1969-10-12 08:14:33
14,Terry Jones, Blaise Pascal. ,1969-10-12 08:49:21
15,Michael Palin, Jean-Paul Sartre. ,1969-10-12 09:17:28
16,Graham Chapman," Yes, Voltaire. ",1969-10-12 09:48:24
17,Terry Jones, Ooh! - Rene Descartes. ,1969-10-12 10:01:24
0,Eric Idle," And now for something completely different. A 
            man with three buttocks! ",1969-10-12 11:47:19
1,John Cleese, I have with me Mr. Arthur Frampton who... ,1969-10-12 11:56:05
2,Terry Jones," Oh, sure.",1969-10-12 13:20:16
3,John Cleese," Ah well, er, Mr. Frampton. Erm, is that chair 
            comfortable?",1969-10-12 14:09:28
4,Terry Jones," Fine, yeah, fine.",1969-10-12 15:28:59
5,John Cleese," Mr. Frampton, er, vis a vis your... ",1969-10-12 17:48:09
6,Terry Jones, I beg your pardon?,1969-10-12 19:02:29
7,John Cleese, Your rump.,1969-10-12 19:08:22
8,Terry Jones, What?,1969-10-12 19:37:36
9,John Cleese," Er, your derriere. ",1969-10-12 20:01:19
10,Terry Jones, What's that?,1969-10-12 20:42:31
11,John Cleese, ,1969-10-12 20:56:41
12,Terry Jones," Oh, me bum!",1969-10-12 21:45:58
13,John Cleese, ,1969-10-12 22:07:14
14,Terry Jones, I got three cheeks.,1969-10-12 22:20:00
15,John Cleese," Yes, yes, excellent, excellent. Well we were 
            wondering, Mr. Frampton, if you could see your way clear to giving 
            us a quick... ",1969-10-12 23:09:41
16,Terry Jones, What? ,1969-10-12 23:15:06
17,John Cleese, Please take them down.,1969-10-12 23:46:47
18,Terry Jones, No!,1969-10-12 23:51:56
19,John Cleese," No, er look, er Mr. Frampton. It's quite easy for 
            somebody just to come along here claiming... that they have a bit to 
            spare in the botty department. The point is, our viewers need proof.",1969-10-13 00:33:34
20,Terry Jones," I've been on Persian Radio ... Get off! Arthur 
            Figgis knows I've got three buttocks.",1969-10-13 01:26:55
21,John Cleese, How?,1969-10-13 01:27:02
22,Terry Jones, We go cycling together.,1969-10-13 02:16:26
23,Eric Idle," (sitting at desk) And now for something 
            completely different. A man with three buttocks.",1969-10-13 03:05:40
24,Terry Jones, Er ... yes.,1969-10-13 03:41:19
25,Terry Jones, I thought it was the continental version.,1969-10-13 03:55:37
26,Eric Idle, Two Noses?,1969-10-13 05:04:52
0,Terry Jones," Thank you, thank you, thank you, thank 
            you. Ladies and gentlemen. I have in this box twenty-three white 
            mice. Mice which have been painstakingly trained over the past few 
            years, to squeak at a selected pitch. ",1969-10-13 05:09:04
0,Michael Palin, Are you the marriage guidance counselor?,1969-10-13 07:30:04
1,Eric Idle, Yes. Good morning,1969-10-13 07:35:34
2,Michael Palin," Good morning, sir",1969-10-13 08:22:04
3,Eric Idle, ,1969-10-13 08:28:38
4,Michael Palin, Mr. and Mrs. Arthur Pewty,1969-10-13 08:35:18
5,Eric Idle, ,1969-10-13 08:53:12
6,Michael Palin, It's Deidre,1969-10-13 08:58:42
7,Eric Idle," Deidre. What a beautiful name. What a 
            beautiful, beautiful name ",1969-10-13 10:12:38
8,Michael Palin," Well, it all started about five years ago when we 
            started going on holiday in Brighton together. Deidre, that's my 
            wife, has always been a jolly good companion to me and I never 
            particularly anticipated any marital strife - indeed the very idea 
            of consulting a professional marital adviser has always been of the 
            greatest repugnance to me although far be it from me to impugn the 
            nature of your trade or profession",1969-10-13 10:36:02
9,Eric Idle, ,1969-10-13 10:56:52
10,Michael Palin," Well, as I say, we've always been good friends, 
            sharing the interests, the gardening and so on, the model 
            aeroplanes, the sixpenny bottle for the holiday money, and indeed 
            twice a month settling down in the evenings doing the accounts, 
            something which, er, Deidre, Deidre that's my wife, er, particularly 
            looked forward to on account of her feet ",1969-10-13 10:59:25
11,Eric Idle, ,1969-10-13 11:08:15
12,Michael Palin," Well yes - at first, frankly yes ",1969-10-13 11:27:49
13,Eric Idle, Odd?,1969-10-13 11:52:09
14,Michael Palin," Yes well, I mean to a certain extent yes. I'm not 
            by nature a suspicious person - far from it - though in fact I have 
            something of a reputation as an after-dinner speaker, if you take my 
            meaning....",1969-10-13 12:21:33
15,Eric Idle, Yes I certainly do,1969-10-13 12:53:03
16,Michael Palin," Anyway in the area where I'm known people in fact 
            know me extremely well....",1969-10-13 13:26:35
17,Eric Idle, ,1969-10-13 14:00:42
18,Michael Palin, Certainly yes ,1969-10-13 16:02:04
19,Eric Idle, ,1969-10-13 16:03:00
20,Michael Palin," No, no right-ho, fine. Yes I'll wait outside shall 
            I?...",1969-10-13 16:36:20
21,John Cleese," Now wait there stranger. A man can run and run 
            for year after year until he realizes that what he's running from 
            ......is hisself",1969-10-13 17:18:20
22,Michael Palin, Gosh,1969-10-13 18:08:53
23,John Cleese," A man's got to do what a man's got to do, and 
            there ain't no sense in runnin'. Now you gotta turn, and you gotta 
            fight, and you gotta hold your head up high",1969-10-13 18:22:29
24,Michael Palin, Yes!,1969-10-13 18:39:20
25,John Cleese, Now you go back in there my son and be a man,1969-10-13 19:05:43
26,Michael Palin," Yes I will. I will!. I've been pushed around long 
            enough. This is it. This is your moment Arthur Pewty - this is it 
            Arthur Pewty. At last you're a man! ",1969-10-13 20:56:18
27,Eric Idle, Go away,1969-10-13 21:33:08
28,Michael Palin, Right. Right.,1969-10-13 21:37:17
0,Michael Palin," Well hello, it's the wacky Queen again! ",1969-10-13 21:39:32
0,Terry Jones, Oh dad... look who's come to see us... it's our Ken.,1969-10-13 22:02:39
1,Graham Chapman, ,1969-10-13 23:13:13
2,Eric Idle," Aren't you pleased to see me, father?",1969-10-14 00:25:41
3,Terry Jones, ,1969-10-14 00:57:41
4,Graham Chapman," All right, woman, all right I've got a tongue in my 
            head - I'll do 'talkin'. ",1969-10-14 01:14:42
